ID,Query,Category,Entities,Seen,Notes
1250,"Laptop mit 16 Zoll Bildschirm und 8GB RAM bis 800 Euro",Laptops,"{""bildschirmgroesse"":[""16 Zoll""],""arbeitsspeicher"":[""8 GB""],""preis"":[""bis 800 Euro""]}",False,
1251,"Tablet mit 10 Zoll Display und Android-Betriebssystem unter 300 Euro",Tablets,"{""bildschirmgroesse"":[""10 Zoll""],""betriebssystem"":[""Android""],""preis"":[""unter 300 Euro""]}",False,
1252,"Smartphone mit bester Kameraqualität 2024 zwischen 500 und 1000 Euro",Mobiltelefone,"{""preis"":[""500 bis 1000 Euro""]}",False,
1253,"Gaming-PC mit RTX 4090 und mindestens 1TB SSD bis 2000 Euro",Computer,"{""zubehoerfuer"":[""Gaming""],""grafikkarte"":[""RTX 4090""],""festplatte"":[""1 TB SSD""],""preis"":[""bis 2000 Euro""]}",False,
1254,"Günstigster Fernseher mit 8K-Auflösung unter 1500 Euro",Fernseher,"{""aufloesung"":[""8K""],""preis"":[""unter 1500 Euro""]}",False,
1255,"Notebook mit Touchscreen und 360-Grad-Scharnier unter 700 Euro",Laptops,"{""ausstattung"":[""Touch Display""],""preis"":[""unter 700 Euro""]}",False,
1256,"4K-Monitor mit 144 Hz und 27 Zoll bis 500 Euro",Monitor,"{""aufloesung"":[""4K""],""bildwiederholungsfrequenz"":[""144 Hz""],""bildschirmgroesse"":[""27 Zoll""],""preis"":[""bis 500 Euro""]}",False,
1257,"Robustes Outdoor-Smartphone mit langer Akkulaufzeit unter 400 Euro",Mobiltelefone,"{""ausstattung"":[""Lange Akkulaufzeit""],""typ"":[""Outdoor-Smartphone""],""preis"":[""unter 400 Euro""]}",False,
1258,"Tablet für Zeichnen bis 600 Euro",Tablets,"{""anwendung"":[""Zeichnen""],""preis"":[""bis 600 Euro""]}",False,
1259,"MacBook Pro mit M2-Chip und 16GB RAM unter 2000 Euro",Laptops,"{""marke"":[""Apple""],""modellreihe"":[""MacBook Pro""],""prozessor"":[""M2""],""arbeitsspeicher"":[""16 GB""],""preis"":[""unter 2000 Euro""]}",False,
1260,"Desktop-PC für Videobearbeitung mit mindestens 32GB RAM bis 1500 Euro",Computer,"{""anwendung"":[""Videobearbeitung""],""arbeitsspeicher"":[""32 GB""],""preis"":[""bis 1500 Euro""]}",False,
1261,"32-Zoll-Fernseher mit besten Smart-TV-Funktionen unter 400 Euro",Fernseher,"{""bildschirmgroesse"":[""32 Zoll""],""funktionen"":[""Smart TV""],""preis"":[""unter 400 Euro""]}",False,
1262,"Chromebook mit mindestens 8GB RAM und 128GB Speicher bis 500 Euro",Laptops,"{""modellreihe"":[""Chromebook""],""arbeitsspeicher"":[""8 GB""],""preis"":[""bis 500 Euro""]}",False,
1263,"Smartphone mit Dual-SIM und 5G-Unterstützung unter 600 Euro",Mobiltelefone,"{""ausstattung"":[""Dual-SIM"",""5G""],""preis"":[""unter 600 Euro""]}",False,
1264,"Laptop mit bester Akkulaufzeit für Studenten bis 1000 Euro",Laptops,"{""zielgruppe"":[""Studenten""],""preis"":[""bis 1000 Euro""]}",False,
1265,"Desktop-PC mit vorinstalliertem Linux-Betriebssystem unter 800 Euro",Computer,"{""betriebssystem"":[""Linux""],""preis"":[""unter 800 Euro""]}",False,
1266,"Tablet mit abnehmbarer Tastatur und Windows-Betriebssystem bis 600 Euro",Tablets,"{""ausstattung"":[""Abnehmbare Tastatur""],""betriebssystem"":[""Windows""],""preis"":[""bis 600 Euro""]}",False,
1267,"24-Zoll-Monitor mit integriertem Lautsprecher unter 300 Euro",Monitor,"{""bildschirmgroesse"":[""24 Zoll""],""ausstattung"":[""Integrierte Lautsprecher""],""preis"":[""unter 300 Euro""]}",False,
1268,"Smartphone mit bester Leistung für Mobile Gaming bis 700 Euro",Mobiltelefone,"{""anwendung"":[""Mobile Gaming""],""preis"":[""bis 700 Euro""]}",False,
1269,"Fernseher mit eingebauter Soundbar und 55 Zoll Display unter 1200 Euro",Fernseher,"{""bildschirmgroesse"":[""55 - 59 Zoll""],""ausstattung"":[""Eingebaute Soundbar""],""preis"":[""unter 1200 Euro""]}",False,
1270,"Laptop mit 13 Zoll Bildschirm und 16GB RAM bis 1000 Euro",Laptops,"{""bildschirmgroesse"":[""13 Zoll""],""arbeitsspeicher"":[""16 GB""],""preis"":[""bis 1000 Euro""]}",False,
1271,"Tablet mit 12 Zoll Display und iOS-Betriebssystem unter 800 Euro",Tablets,"{""bildschirmgroesse"":[""12 Zoll""],""betriebssystem"":[""iOS""],""preis"":[""unter 800 Euro""]}",False,
1272,"Smartphone mit bester Kameraqualität 2024 zwischen 600 und 1200 Euro",Mobiltelefone,"{""preis"":[""600 bis 1200 Euro""]}",False,
1273,"Gaming-PC mit RTX 3070 und mindestens 512GB SSD",Computer,"{""zubehoerfuer"":[""Gaming""],""grafikkarte"":[""RTX 3070""],""festplatte"":[""512 GB SSD""]}",False,
1274,"Günstiger Fernseher mit 4K-Auflösung",Fernseher,"{""aufloesung"":[""4K""]}",False,
1275,"Notebook mit Touchscreen und 360-Grad-Scharnier",Laptops,"{""ausstattung"":[""Touch Display""]}",False,
1276,"Monitor mit 144 Hz und 24 Zoll bis 300 Euro",Monitor,"{""bildwiederholungsfrequenz"":[""144 Hz""],""bildschirmgroesse"":[""24 Zoll""],""preis"":[""bis 300 Euro""]}",False,
1277,"Robustes Outdoor-Smartphone mit langer Akkulaufzeit",Mobiltelefone,"{""ausstattung"":[""Lange Akkulaufzeit""],""typ"":[""Outdoor-Smartphone""]}",False,
1278,"Tablet für Zeichnen mit Stiftunterstützung",Tablets,"{""anwendung"":[""Zeichnen""],""ausstattung"":[""Stifteingabe""]}",False,
1279,"MacBook Pro mit M1-Chip und 8GB RAM",Laptops,"{""marke"":[""Apple""],""modellreihe"":[""MacBook Pro""],""prozessor"":[""M1""],""arbeitsspeicher"":[""8 GB""]}",False,
1280,"Desktop-PC für Videobearbeitung mit mindestens 16GB RAM",Computer,"{""anwendung"":[""Videobearbeitung""],""arbeitsspeicher"":[""16 GB""],""preis"":[""bis 1000 Euro""]}",False,
1281,"Fernseher mit 40 Zoll und Smart-TV-Funktionen",Fernseher,"{""bildschirmgroesse"":[""40 - 44 Zoll""],""funktionen"":[""Smart TV""]}",False,
1282,"Chromebook mit mindestens 4GB RAM und 64GB Speicher",Laptops,"{""modellreihe"":[""Chromebook""],""arbeitsspeicher"":[""4 GB""]}",False,
1283,"Smartphone mit Dual-SIM und 5G-Unterstützung",Mobiltelefone,"{""ausstattung"":[""Dual-SIM"",""5G""]}",False,
1284,"Laptop mit langer Akkulaufzeit für Studenten",Laptops,"{""zielgruppe"":[""Studenten""],""ausstattung"":[""Lange Akkulaufzeit""]}",False,
1285,"Desktop-PC mit vorinstalliertem Linux-Betriebssystem",Computer,"{""betriebssystem"":[""Linux""]}",False,
1286,"Tablet mit abnehmbarer Tastatur und Android-Betriebssystem",Tablets,"{""ausstattung"":[""Abnehmbare Tastatur""],""betriebssystem"":[""Android""]}",False,
1287,"Monitor mit integriertem Lautsprecher",Monitor,"{""ausstattung"":[""Integrierte Lautsprecher""]}",False,
1288,"Smartphone mit bester Leistung für Mobile Gaming",Mobiltelefone,"{""anwendung"":[""Mobile Gaming""]}",False,
1289,"Fernseher mit eingebauter Soundbar und 55 Zoll Display",Fernseher,"{""bildschirmgroesse"":[""55 - 59 Zoll""],""ausstattung"":[""Eingebaute Soundbar""]}",False,
1290,"Laptop mit 15 Zoll Bildschirm und Intel Core i7",Laptops,"{""bildschirmgroesse"":[""15 Zoll""],""prozessor"":[""Intel Core i7""]}",False,
1291,"Tablet mit 8 Zoll Display und Wi-Fi only",Tablets,"{""bildschirmgroesse"":[""8 Zoll""],""verbindung"":[""Wi-Fi only""]}",False,
1292,"Smartphone mit AMOLED-Display und mindestens 128GB Speicher",Mobiltelefone,"{""ausstattung"":[""AMOLED-Display""],""speicher"":[""128 GB""]}",False,
1293,"Gaming-Laptop mit RTX 3060 und 16GB RAM",Laptops,"{""zubehoerfuer"":[""Gaming""],""grafikkarte"":[""RTX 3060""],""arbeitsspeicher"":[""16 GB""]}",False,
1294,"All-in-One-Desktop-PC mit Touchscreen",Computer,"{""ausstattung"":[""Touch Display""]}",False,
1295,"32-Zoll-Monitor mit 75 Hz Bildwiederholungsrate",Monitor,"{""bildschirmgroesse"":[""32 Zoll""],""bildwiederholungsfrequenz"":[""75 Hz""]}",False,
1296,"Smartwatch mit GPS und Herzfrequenzmesser",Wearables,"{""ausstattung"":[""GPS"",""Herzfrequenzmesser""]}",False,
1297,"Fernseher mit 65 Zoll und OLED-Display",Fernseher,"{""bildschirmgroesse"":[""65 - 69 Zoll""],""displaytyp"":[""OLED""]}",False,
1298,"Ultrabook mit 14 Zoll Bildschirm und unter 1,5 kg Gewicht",Laptops,"{""typ"":[""Ultrabook""],""bildschirmgroesse"":[""14 Zoll""],""gewicht"":[""unter 1,5 kg""]}",False,
1299,"Tablet mit 11 Zoll Display und LTE-Unterstützung",Tablets,"{""bildschirmgroesse"":[""11 Zoll""],""verbindung"":[""LTE""]}",False,
1300,"Smartphone mit optischem Zoom und 256GB Speicher",Mobiltelefone,"{""ausstattung"":[""Optischer Zoom""],""speicher"":[""256 GB""]}",False,
1301,"Laptop mit 17 Zoll Bildschirm und Windows 11",Laptops,"{""bildschirmgroesse"":[""17 Zoll""],""betriebssystem"":[""Windows 11""]}",False,
1302,"Desktop-PC mit Wasserkühlung für Gaming",Computer,"{""zubehoerfuer"":[""Gaming""],""ausstattung"":[""Wasserkühlung""]}",False,
1303,"Monitor mit 34 Zoll und ultrawide Bildschirm",Monitor,"{""bildschirmgroesse"":[""34 Zoll""],""typ"":[""Ultrawide""]}",False,
1304,"Smartphone mit 120 Hz Display und 64MP Kamera",Mobiltelefone,"{""bildwiederholungsfrequenz"":[""120 Hz""],""kamera"":[""64 MP""]}",False,
1305,"Tablet mit abnehmbarer Tastatur und 10 Zoll Display",Tablets,"{""ausstattung"":[""Abnehmbare Tastatur""],""bildschirmgroesse"":[""10 Zoll""]}",False,
1306,"Smartwatch mit LTE und Musikstreaming",Wearables,"{""verbindung"":[""LTE""],""funktionen"":[""Musikstreaming""]}",False,
1307,"Laptop mit AMD Ryzen 5 Prozessor und 512GB SSD",Laptops,"{""prozessor"":[""AMD Ryzen 5""],""festplatte"":[""512 GB SSD""]}",False,
1308,"Desktop-PC mit Dual-Boot Windows und Linux",Computer,"{""betriebssystem"":[""Windows"",""Linux""]}",False,
1309,"Monitor mit 27 Zoll und USB-C Anschluss",Monitor,"{""bildschirmgroesse"":[""27 Zoll""],""anschluesse"":[""USB-C""]}",False,
1310,"Smartphone mit Fingerabdrucksensor im Display",Mobiltelefone,"{""ausstattung"":[""Fingerabdrucksensor im Display""]}",False,
1311,"Laptop mit 13 Zoll Bildschirm und MacOS",Laptops,"{""bildschirmgroesse"":[""13 Zoll""],""betriebssystem"":[""MacOS""]}",False,
1312,"Tablet mit 9 Zoll Display und 128GB Speicher",Tablets,"{""bildschirmgroesse"":[""9 Zoll""],""speicher"":[""128 GB""]}",False,
